control_id,family,family_code,control_name,description,addressed_by_repo,aws_services,terraform_resources,requires_client_config,organizational_control,notes
3.1.1,Access Control,AC,Limit system access to authorized users,"Restrict logical access to authorized users, processes, and devices.",partial,IAM;IAM Identity Center,module.iam_baseline,true,false,Repo provides password policy + Access Analyzer; client wires SSO and least-privilege roles. SSP-written.
3.1.2,Access Control,AC,Limit access to authorized transactions,Restrict authorized transactions and functions for authorized users.,partial,IAM,module.iam_baseline,true,false,DenyNonFipsEndpoints permission-boundary template provided. SSP-written.
3.1.3,Access Control,AC,Control CUI flow,Control approved authorizations for controlling CUI flow within the system.,partial,VPC;Security Groups;Network ACLs,module.vpc,true,false,Tiered subnets + endpoint SGs; client adds workload SGs / NACLs.
3.1.4,Access Control,AC,Separation of duties,Separate duties of individuals to reduce risk of malevolent activity.,none,IAM,,true,true,Organizational role design — outside Terraform.
3.1.5,Access Control,AC,Least privilege,"Employ least privilege, including for specific security functions.",partial,IAM;IAM Access Analyzer,module.iam_baseline,true,false,Access Analyzer surfaces over-permissioned roles.
3.1.6,Access Control,AC,Use non-privileged accounts,Use non-privileged accounts when accessing non-security functions.,none,IAM Identity Center,,true,true,Operational practice; enforce via SSO permission sets.
3.1.7,Access Control,AC,Prevent non-privileged users from privileged functions,Prevent non-privileged users from executing privileged functions.,partial,IAM,module.iam_baseline,true,false,Use SCPs + permission boundaries.
3.1.8,Access Control,AC,Limit unsuccessful logon attempts,Limit unsuccessful logon attempts.,none,IAM Identity Center;IdP,,true,false,Configured at the IdP (Okta/Entra/IAM Identity Center).
3.1.9,Access Control,AC,Privacy / security notices,Provide privacy and security notices consistent with applicable CUI rules.,none,,,true,true,Banner enforced at workstation / SSO portal layer.
3.1.10,Access Control,AC,Session lock,Use session lock with pattern-hiding displays.,none,,,true,true,Endpoint MDM responsibility.
3.1.11,Access Control,AC,Session termination,Terminate user sessions after a defined condition.,none,IAM Identity Center;ALB,,true,false,Session timeouts configured at IdP / app layer.
3.1.12,Access Control,AC,Monitor and control remote access,Monitor and control remote access sessions.,partial,Systems Manager;CloudTrail,module.cloudtrail,true,false,SSM Session Manager + CloudTrail logs sessions.
3.1.13,Access Control,AC,Cryptographic protection of remote access,Employ cryptographic mechanisms to protect remote access sessions.,partial,Systems Manager;ACM;KMS,module.iam_baseline,true,false,DenyNonFipsEndpoints + SSM TLS; client manages bastion certs.
3.1.14,Access Control,AC,Route remote access via managed access points,Route remote access via managed access control points.,partial,VPC;Systems Manager,module.vpc,true,false,VPC endpoints + SSM Session Manager as the bastion.
3.1.15,Access Control,AC,Authorize remote execution of privileged commands,Authorize remote execution of privileged commands and remote access to security-relevant info.,none,IAM;Systems Manager,,true,false,Configured per workload IAM role.
3.1.16,Access Control,AC,Authorize wireless access,Authorize wireless access prior to allowing such connections.,none,,,true,true,On-prem network policy.
3.1.17,Access Control,AC,Protect wireless access,Protect wireless access using authentication and encryption.,none,,,true,true,On-prem network policy (WPA3-Enterprise).
3.1.18,Access Control,AC,Control mobile device connection,Control connection of mobile devices.,none,,,true,true,MDM responsibility.
3.1.19,Access Control,AC,Encrypt CUI on mobile devices,Encrypt CUI on mobile devices and mobile computing platforms.,none,,,true,true,Endpoint FDE policy.
